country,Country Code,Continent,HDI,le,eys,mys,gnicp,ptr_p,ut,se_p,fr,che,pun,ppod,gee
South Asia,SAS,Asia,0.638,70.24546732,11.61688226,6.509208341,6116.711799,33.24849,6.998482765,87.60735,2.406130527,3.003801122,12.95406908,20.70384608,2.23245365
Spain,ESP,Europe,0.897,83.0295,17.61613083,10.07671499,39543.65687,13.13172,17.22,97.27171,1.31,8.94976807,2.5,0,4.205520153
Sri Lanka,LKA,Asia,0.771,75.4035,13.90752983,10.57874966,12250.94548,22.93257,4.05,99.09921,2.053,3.59565163,4.3,0.800586444,2.593169928
Suriname,SUR,South America,0.75,72.417,12.97045829,9.573077564,16278.15956,12.92371,7.91,86.07316,2.443,5.32285929,8.3,2.342921714,5.458612919
Sweden,SWE,Europe/Asia,0.941,82.4382,19.48233986,12.48604965,52849.39299,12.23325,6.72,99.18177,1.78,10.78509998,2.5,0,7.568830013
Switzerland,CHE,Europe,0.957,83.4125,16.32843971,13.73318529,68167.80327,9.92873,4.8,93.19583,1.52,11.48099899,2.5,0,5.017650127
Tanzania,TZA,Africa,0.528,65.9987,8.097599983,6.094134093,2472.985897,47.15284,2.168,83.58042,4.993,4.08257437,23,7.551174563,4.430510044
Timor-Leste,TLS,Asia,0.606,67.7454,12.39822,5.43679,4500.640588,27.65483,4.749,93.70257,3.596,6.6738925,24.6,17.82472984,5.208618164
Togo,TGO,Africa,0.524,60.1544,12.71761036,4.763593115,2013.813455,40.12613,3.74,90.91577,4.503,6.40987968,21,44.49833851,3.760529995
Turkiye,TUR,Europe/Asia,0.833,77.1408,17.98140907,8.268190384,27553.33891,16.97782,10.82,87.90006,2.14,4.17974997,2.5,0.213078105,4.323689938
United Kingdom,GBR,Europe,0.93,81.1684,17.49843025,13.16133022,45771.00186,15.13275,4.33,99.49182,1.74,9.58797741,2.5,0,5.431250095
United States,USA,North America,0.924,78.8213,16.31038094,13.42226505,61186.46283,18.47165,4.36,94.62633,1.7655,16.76793671,2.5,0,5.122879982
Uruguay,URY,South America,0.819,77.6247,16.83563995,8.831359863,21733.37205,11.0193,7.89,99.3775,1.796,8.82179642,2.5,0.426259756,4.417870045
Uzbekistan,UZB,Asia,0.715,71.0095,12.05881977,11.72383976,6974.358065,21.15014,5.83,96.26941,2.419,4.83789968,2.5,0.049449997,5.033319473
World,WLD,,0.733,72.56895153,12.70857121,8.439512571,16022.41006,23.38904,5.873643767,89.26194,2.459191351,9.75346672,7.6,8.965676712,4.14326543
